"id","title","district_id","region_id"
68,Верхнеильясово,3,1
21095,Том,1481,53
1936,Алёс,252,8
1997,Радинск,254,8
2089,Малая Добринка,261,9
3787,Коино,344,11
4895,Сорокина,436,14
5611,Клины,593,21
6721,Маяк,756,27
8884,Колышкино,799,28
9002,Покров,799,28
9628,Поповское,823,28
11601,Туртапки,973,35
11950,Сосновка,982,35
12003,Тютьково,984,35
12113,"9 км",989,35
13397,Новоходыкино,1022,36
16965,Ескино,1233,43
17847,Знаменка,1269,44
18269,Маяк,1293,45
18434,Маис,1300,45
19659,Марьино,1396,48
20267,Уграда,1406,48
20572,Сарёленг,1444,50
21827,Утеево,1505,54
23342,Страмиловка,1573,58
25208,Соколовка,1624,59
25310,Авдотьино,1633,59
25588,Ахтуба,1691,61
26233,хутор Северный,1692,61
26575,Тойбеково,1709,61
31699,Чиграй,2079,73
33603,Сорокина,2143,76
1,Владимировское,1,1
2,Вольно-Весёлый,1,1
3,Георгиевское,1,1
4,Гиагинская,1,1
5,Гончарка,1,1
6,Днепровский,1,1
7,Дондуковская,1,1
8,Екатериновский,1,1
9,Карцев,1,1
10,Келермесская,1,1
11,Козополянский,1,1
12,Колхозный,1,1
80,Гредякино,3,1
13,Красный Пахарь,1,1
14,Красный Хлебороб,1,1
15,Курский,1,1
16,Лесной,1,1
17,Михельсоновский,1,1
18,Нечаевский,1,1
19,Нижний Айрюм,1,1
20,Новый,1,1
21,Образцовое,1,1
22,Прогресс,1,1
23,Садовый,1,1
24,Сергиевское,1,1
25,Смольчев-Малиновский,1,1
26,Тамбовский,1,1
27,Фарсовский,1,1
28,Черёмушкин,1,1
29,Шишкинский,1,1
30,Блечепсин,2,1
31,Вольное,2,1
32,Дмитриевский,2,1
110,Коммунар,3,1
33,Дружба,2,1
34,Егерухай,2,1
35,Игнатьевский,2,1
36,Казённо-Кужорский,2,1
37,Кармолино-Гидроицкий,2,1
38,Комсомольский,2,1
39,Кошехабль,2,1
40,Красный,2,1
41,Красный Фарс,2,1
42,Майский,2,1
