"id","title","region_id"
85,Ивановский район,3
1,Гиагинский район,1
2,Кошехабльский район,1
3,Красногвардейский район,1
4,Майкопский район,1
5,Тахтамукайский район,1
6,Теучежский район,1
7,Шовгеновский район,1
8,городской округ Адыгейск,1
9,городской округ Майкоп,1
10,Алейский район,2
11,Алтайский район,2
12,Баевский район,2
13,Бийский район,2
14,Благовещенский район,2
15,Бурлинский район,2
16,Быстроистокский район,2
17,Волчихинский район,2
18,Егорьевский район,2
19,Ельцовский район,2
20,Завьяловский район,2
21,Залесовский район,2
22,Заринский район,2
23,ЗАТО Сибирский,2
24,Змеиногорский район,2
25,Зональный район,2
26,Калманский район,2
27,Каменский район,2
28,Ключевский район,2
29,Косихинский район,2
30,Красногорский район,2
31,Краснощёковский район,2
32,Крутихинский район,2
33,Кулундинский район,2
34,Курьинский район,2
35,Кытмановский район,2
36,Локтевский район,2
37,Мамонтовский район,2
38,Михайловский район,2
39,Немецкий национальный район,2
40,Новичихинский район,2
41,Павловский район,2
42,Панкрушихинский район,2
43,Первомайский район,2
44,Петропавловский район,2
45,Поспелихинский район,2
46,Ребрихинский район,2
47,Родинский район,2
48,Романовский район,2
49,Рубцовский район,2
50,Смоленский район,2
51,Советский район,2
52,Солонешенский район,2
53,Солтонский район,2
54,Суетский район,2
55,Табунский район,2
56,Тальменский район,2
57,Тогульский район,2
58,Топчихинский район,2
59,Третьяковский район,2
60,Троицкий район,2
61,Тюменцевский район,2
62,Угловский район,2
63,Усть-Калманский район,2
64,Усть-Пристанский район,2
65,Хабарский район,2
66,Целинный район,2
67,Чарышский район,2
68,Шелаболихинский район,2
69,Шипуновский район,2
70,городской округ Алейск,2
71,городской округ Барнаул,2
72,городской округ Белокуриха,2
73,городской округ Бийск,2
74,городской округ Заринск,2
75,городской округ Новоалтайск,2
76,городской округ Рубцовск,2
77,городской округ Славгород,2
78,городской округ Яровое,2
79,Архаринский район,3
80,Белогорский муниципальный округ,3
81,Благовещенский район,3
82,Бурейский район,3
83,Завитинский район,3
84,Зейский район,3
86,Константиновский район,3
87,Магдагачинский район,3
88,Мазановский район,3
89,Михайловский район,3
90,Октябрьский район,3
91,Ромненский муниципальный округ,3
92,Свободненский район,3
93,Селемджинский район,3
94,Серышевский район,3
95,Сковородинский район,3
96,Тамбовский район,3
97,Тындинский район,3
98,Шимановский район,3
99,городской округ Белогорск,3
100,городской округ Благовещенск,3
101,городской округ Зея,3
102,городской округ Прогресс,3
103,городской округ Райчихинск,3
104,городской округ Свободный,3
105,городской округ Тында,3
106,городской округ Шимановск,3
107,Вельский район,4
108,Верхнетоемский район,4
109,Вилегодский район,4
110,Виноградовский район,4
111,ЗАТО Мирный,4
112,Каргопольский район,4
113,Коношский район,4
114,Котласский район,4
115,Красноборский район,4
116,Ленский район,4
117,Лешуконский район,4
118,Мезенский район,4
119,Няндомский район,4
120,Онежский район,4
121,Пинежский район,4
122,Плесецкий район,4
123,Приморский район,4
124,Устьянский район,4
125,Холмогорский район,4
126,Шенкурский район,4
127,городской округ Архангельск,4
128,городской округ Коряжма,4
129,городской округ Котлас,4
130,городской округ Новая Земля,4
131,городской округ Новодвинск,4
132,городской округ Северодвинск,4
133,Ахтубинский район,5
134,Володарский район,5
135,Енотаевский район,5
136,ЗАТО Знаменск,5
137,Икрянинский район,5
138,Камызякский район,5
139,Красноярский район,5
140,Лиманский район,5
141,Наримановский район,5
142,Приволжский район,5
143,Харабалинский район,5
144,Черноярский район,5
145,городской округ Астрахань,5
146,Абзелиловский район,6
147,Альшеевский район,6
148,Архангельский район,6
149,Аскинский район,6
150,Аургазинский район,6
151,Баймакский район,6
152,Бакалинский район,6
153,Балтачевский район,6
154,Белебеевский район,6
155,Белокатайский район,6
156,Белорецкий район,6
157,Бижбулякский район,6
158,Бирский район,6
159,Благоварский район,6
160,Благовещенский район,6
161,Буздякский район,6
162,Бураевский район,6
163,Бурзянский район,6
164,Гафурийский район,6
165,Давлекановский район,6
166,Дуванский район,6
167,Дюртюлинский район,6
168,Ермекеевский район,6
169,ЗАТО Межгорье,6
170,Зианчуринский район,6
171,Зилаирский район,6
172,Иглинский район,6
173,Илишевский район,6
174,Ишимбайский район,6
175,Калтасинский район,6
176,Караидельский район,6
177,Кармаскалинский район,6
178,Кигинский район,6
179,Кугарчинский район,6
180,Кушнаренковский район,6
181,Куюргазинский район,6
182,Мелеузовский район,6
183,Мечетлинский район,6
184,Мишкинский район,6
185,Миякинский район,6
186,Нуримановский район,6
187,Салаватский район,6
188,Стерлибашевский район,6
189,Стерлитамакский район,6
190,Татышлинский район,6
191,Туймазинский район,6
192,Уфимский район,6
193,Учалинский район,6
194,Фёдоровский район,6
195,Хайбуллинский район,6
196,Чекмагушевский район,6
197,Чишминский район,6
198,Шаранский район,6
199,Янаульский район,6
200,городской округ Агидель,6
201,городской округ Кумертау,6
202,городской округ Нефтекамск,6
203,городской округ Октябрьский,6
204,городской округ Салават,6
205,городской округ Сибай,6
206,городской округ Стерлитамак,6
207,городской округ Уфа,6
208,Белгородский район,7
209,Борисовский район,7
210,Вейделевский район,7
211,Волоконовский район,7
212,Ивнянский район,7
213,Корочанский район,7
214,Красненский район,7
215,Красногвардейский район,7
216,Краснояружский район,7
217,Прохоровский район,7
218,Ракитянский район,7
219,Ровеньский район,7
220,Чернянский район,7
221,Алексеевский городской округ,7
222,Валуйский городской округ,7
223,городской округ Белгород,7
224,Грайворонский городской округ,7
225,Губкинский городской округ,7
226,Новооскольский городской округ,7
227,Старооскольский городской округ,7
265,ЗАТО Радужный,9
228,Шебекинский городской округ,7
229,Яковлевский городской округ,7
230,Брасовский район,8
231,Брянский район,8
232,Выгоничский район,8
233,Гордеевский район,8
234,Дубровский район,8
235,Дятьковский район,8
236,Жирятинский район,8
237,Жуковский муниципальный округ,8
238,Злынковский район,8
239,Карачевский район,8
240,Клетнянский район,8
241,Климовский район,8
242,Клинцовский район,8
243,Комаричский район,8
244,Красногорский район,8
245,Мглинский район,8
246,Навлинский район,8
247,Погарский район,8
248,Почепский район,8
249,Рогнединский район,8
250,Севский район,8
251,Стародубский муниципальный округ,8
252,Суземский район,8
253,Суражский район,8
254,Трубчевский район,8
255,Унечский район,8
256,городской округ Брянск,8
257,городской округ Клинцы,8
258,городской округ Сельцо,8
259,городской округ Фокино,8
260,Новозыбковский городской округ,8
261,Александровский район,9
262,Вязниковский район,9
263,Гороховецкий район,9
264,Гусь-Хрустальный район,9
266,Камешковский район,9
267,Киржачский район,9
268,Ковровский район,9
269,Кольчугинский район,9
270,Меленковский район,9
271,Муромский район,9
272,Петушинский район,9
273,Селивановский район,9
274,Собинский район,9
275,Судогодский район,9
276,Суздальский район,9
277,Юрьев-Польский район,9
278,городской округ Владимир,9
279,городской округ Гусь-Хрустальный,9
280,городской округ Ковров,9
281,городской округ Муром,9
282,Алексеевский район,10
283,Быковский район,10
284,Городищенский район,10
285,Даниловский район,10
286,Дубовский район,10
287,Еланский район,10
288,Жирновский район,10
289,Иловлинский район,10
290,Калачёвский район,10
291,Камышинский район,10
292,Киквидзенский район,10
293,Клетский район,10
294,Котельниковский район,10
295,Котовский район,10
296,Кумылженский район,10
297,Ленинский район,10
298,Нехаевский район,10
299,Николаевский район,10
300,Новоаннинский район,10
301,Новониколаевский район,10
372,Репьёвский район,12
302,Октябрьский район,10
303,Ольховский район,10
304,Палласовский район,10
305,Руднянский район,10
306,Светлоярский район,10
307,Серафимовичский район,10
308,Среднеахтубинский район,10
309,Старополтавский район,10
310,Суровикинский район,10
311,Урюпинский район,10
312,Фроловский район,10
313,Чернышковский район,10
314,городской округ Волгоград,10
315,городской округ Волжский,10
316,городской округ Камышин,10
317,городской округ Михайловка,10
318,городской округ Урюпинск,10
319,городской округ Фролово,10
320,Бабаевский район,11
321,Бабушкинский район,11
322,Белозерский район,11
323,Вашкинский район,11
324,Великоустюгский район,11
325,Верховажский район,11
326,Вожегодский район,11
327,Вологодский район,11
328,Вытегорский район,11
329,Грязовецкий район,11
330,Кадуйский район,11
331,Кирилловский район,11
332,Кичменгско-Городецкий район,11
333,Междуреченский район,11
334,Никольский район,11
335,Нюксенский район,11
336,Сокольский район,11
337,Сямженский район,11
338,Тарногский район,11
339,Тотемский район,11
340,Усть-Кубинский район,11
341,Устюженский район,11
342,Харовский район,11
343,Чагодощенский район,11
344,Череповецкий район,11
345,Шекснинский район,11
346,городской округ Вологда,11
347,городской округ Череповец,11
348,Аннинский район,12
349,Бобровский район,12
350,Богучарский район,12
351,Бутурлиновский район,12
352,Верхнемамонский район,12
353,Верхнехавский район,12
354,Воробьёвский район,12
355,Грибановский район,12
356,Калачеевский район,12
357,Каменский район,12
