"id","title"
1,Республика Адыгея
2,Алтайский край
3,Амурская область
4,Архангельская область
5,Астраханская область
6,Башкортостан
7,Белгородская область
8,Брянская область
9,Владимирская область
10,Волгоградская область
11,Вологодская область
12,Воронежская область
13,Дагестан
14,Еврейская автономная область
15,Забайкальский край
16,Ивановская область
17,Республика Ингушетия
18,Иркутская область
19,Кабардино-Балкарская Республика
20,Калининградская область
21,Калужская область
22,Камчатский край
23,Карачаево-Черкесская республика
24,Кемеровская область — Кузбасс
25,Кировская область
26,Костромская область
27,Краснодарский край
28,Красноярский край
29,Курганская область
30,Курская область
31,Ленинградская область
32,Липецкая область
33,Магаданская область
34,Марий Эл
35,Мордовия
36,Московская область
37,Мурманская область
38,Ненецкий автономный округ
39,Нижегородская область
40,Новгородская область
41,Новосибирская область
42,Омская область
43,Оренбургская область
44,Орловская область
45,Пензенская область
46,Пермский край
47,Приморский край
48,Псковская область
49,Республика Алтай
50,Республика Бурятия
51,Республика Калмыкия
52,Республика Карелия
53,Республика Коми
54,Республика Крым
55,Республика Саха (Якутия)
56,Республика Тыва
57,Республика Хакасия
58,Ростовская область
59,Рязанская область
60,Самарская область
61,Саратовская область
62,Сахалинская область
63,Свердловская область
64,Северная Осетия — Алания
65,Смоленская область
66,Ставропольский край
67,Тамбовская область
68,Татарстан
69,Тверская область
70,Томская область
71,Тульская область
72,Тюменская область
73,Удмуртская Республика
74,Ульяновская область
75,Хабаровский край
76,Ханты-Мансийский автономный округ — Югра
77,Челябинская область
78,Чеченская Республика
79,Чувашия
80,Чукотский автономный округ
81,Ямало-Ненецкий автономный округ
82,Ярославская область
